species_ch,species_en,assemble,authority,gene_id,gene_name,download_url
"Ëñ¹Ï,Ó¡¶ÈÄÏ¹Ï",Cucurbita_maxima,v1.1,public,CmaCh20G011620,null,
"Å·ÖÞ°×èë,°×èë",Betula_pendula,v1.2,public,99994,Bpev01.c1584.g0008,https://genomevolution.org/coge/api/v1/genomes/35079/sequence
½ÛÐ¡ÊµÓ¬,Bactrocera_dorsalis,ASM78921v2,public,Zn800,null,https://www.ncbi.nlm.nih.gov/genome/?term=ASM78921v2
"Éú²Ë,Ý«ÜÄ",Lactuca_sativa,V8,public,Lsat_1_v5_gn_9_124081,null,https://genomevolution.org/CoGe/GenomeInfo.pl?gid=35223
»Æ÷­,Monopterus_albus,M_albus_1.0,public,gene24041,LOC109954440,https://www.ncbi.nlm.nih.gov/genome/?term=Monopterus+albus
"¿àÜñ,¿àÜñÂó",Fagopyrum_tataricum,Pinku1,public,FtPinG0005984500.01,null,http://www.mbkbase.org/Pinku1/
"ÂÌÍ·Ñ¼,±±¾©Ñ¼",Anas_platyrhynchos,White_Pekin_Duck_v4.0,public,gene16038,LOC101790705,
"¸ÌéÙ,¿ËÀïÂü¶¡ºìéÙ",Citrus_clementina,v1.0,public,Ciclev10030451m.g.v1.0,Ciclev10030451m.g,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Cclementina
ÒøÐÓ,Ginkgo_biloba,v1,public,gene.Gb_41840,null,http://gigadb.org/dataset/100209
Æ»¹û,Malus_domestica,GDDH13_v1.1,public,MD17G1287700,null,ftp://ftp.bioinfo.wsu.edu/species/Malus_x_domestica/Malus_x_domestica-genome_GDDH13_v1.1/assembly/GDDH13_1-1_formatted.fasta.gz
Þ¼Âó,Chenopodium_quinoa,ASM168347v1,public,gene58753,LOC110718345,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/475/GCF_001683475.1_ASM168347v1/GCF_001683475.1_ASM168347v1_genomic.fna.gz
ÓÍ²Ë,Brassica_napus,ZS11,public,BnUnng0938780,null,http://ocri-genomics.org/Brassia_napus_genome_ZS11/data/genome_assembly/Brassica_napus_ZS11_genome_assemblyV201608.fa
´¨½ðË¿ºï,Rhinopithecus_roxellana,Rrox_v1,public,gene29838,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/185/GCF_000769185.1_Rrox_v1/
Ò°Öí,Sus_scrofa,Sscrofa11.1,public,ENSSSCG00000036375,null,"ftp://ftp.ensembl.org/pub/release-90/fasta/sus_scrofa/dna/,ftp://ftp.ensembl.org/pub/release-90/gff3/sus_scrofa"
Öìûq,Nipponia_nippon,ASM70822v1,public,gene15383,BAI3,ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/225/GCF_000708225.1_ASM70822v1/GCF_000708225.1_ASM70822v1_genomic.fna.gz
Ôæ,Ziziphus_jujuba,ZizJuj_1.1,public,gene33323,LOC107410221,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/755/GCF_000826755.1_ZizJuj_1.1/GCF_000826755.1_ZizJuj_1.1_genomic.fna.gz
¸ßÁ»,Sorghum_bicolor,NCBIv3,public,gene32749,LOC110431592,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/195/GCF_000003195.3_Sorghum_bicolor_NCBIv3/GCF_000003195.3_Sorghum_bicolor_NCBIv3_genomic.gff.gz
²ÖÊó,Cricetulus_griseus,CriGri_1.0,public,gene28965,LOC103159066,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/135/GCF_000223135.1_CriGri_1.0/GCF_000223135.1_CriGri_1.0_genomic.fna.gz
·¬ÇÑ,Solanum_lycopersicum,ITAG3.2,public,Solyc12g100357.1,null,https://solgenomics.net/organism/Solanum_lycopersicum/genome
½ð²ÖÊó,Mesocricetus_auratus,MesAur1.0,public,gene27840,LOC101839372,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/665/GCF_000349665.1_MesAur1.0/
ÃàÑò,Ovis_aries,Oar_v4.0,public,gene29285,LOC101107265,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/735/GCF_000298735.2_Oar_v4.0/GCF_000298735.2_Oar_v4.0_genomic.fna.gz
²ÝÝ®,Fragaria_vesca,v2.0.a1,public,snap_masked-LG0-processed-gene-71.66,null,ftp://ftp.bioinfo.wsu.edu/species/Fragaria_vesca/Fvesca-genome.v2.0.a1/assembly/Fragaria_vesca_v2.0.a1_pseudomolecules.fasta.gz
µ¤²Î,Salvia_miltiorrhiza,v1,public,SMil_00025143|size27774-processed-gene-0.3,null,
±ÍÂé,Ricinus_communis,Release_0.1,public,60639.t00002,null,http://castorbean.jcvi.org/castorbean_downloads.shtml
ÆÏÌÑæß¾úB05.10,Botrytis_cinerea_B05.10,ASM83294v1,public,Bcin09g07140,null,http://fungi.ensembl.org/index.html
»Æµ¥°û¾ú,Xanthomonas_albilineans_GPE_PC73,ASM8796v1,public,gene3261,VB87_RS00155,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/087/965/GCF_000087965.2_ASM8796v1/GCF_000087965.2_ASM8796v1_genomic.fna.gz
ÌÒ,Prunus_persica,v2.0_GDR,public,Prupe.I006200_v2.0.a1,Prupe.I006200,
µ¤²Î,Salvia_miltiorrhiza,snnu_v1,public,SMil_00028345-augustus-gene-0.5,null,
´óÂó,Hordeum_vulgare,PGSB_r1,public,HORVU0Hr1G040550,null,http://webblast.ipk-gatersleben.de/barley_ibsc/downloads/
Ð¡²Ë¶ê,Plutella_xylostella,DBM_FJ_V1.1,public,gene19350,LOC105397894,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/985/GCF_000330985.1_DBM_FJ_V1.1/GCF_000330985.1_DBM_FJ_V1.1_genomic.fna.gz
°ßÂíÓã,Danio_rerio,GRCz11,public,gene47356,LOC108179569,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11/GCF_000002035.6_GRCz11_genomic.fna.gz
ÈË²Î,Panax_ginseng,v1,public,maker-scaffold9999-snap-gene-0.9,null,http://ginseng.vicp.io:23488/index.php/index/download.html
"Ê¯Öñ,¿µÄËÜ°",Dianthus_caryophyllus,r1.0,public,Dca62626,null,ftp://ftp.kazusa.or.jp/pub/carnation/DCA_r1.0_scaffolds.fa.gz
ÈýÁÑÒ¶Êí,Ipomoea_triloba,NSP323.v3,public,itb15g24250,null,http://sweetpotato.plantbiology.msu.edu/gt4sp_download.shtml
²ÝÝ®,Fragaria_vesca,v2.0.a2,public,gene38758-v2.0.a2-hybrid,null,ftp://ftp.bioinfo.wsu.edu/species/Fragaria_vesca/Fvesca-genome.v2.0.a1/assembly/Fragaria_vesca_v2.0.a1_pseudomolecules.fasta.gz
°×Àæ,Pyrus_x_bretschneideri,V1.1,public,Pbr042641,null,http://peargenome.njau.edu.cn/allfile/4.Pyrus_bretschneideri_scaffold.gz
"µ¾ÎÁ²¡¾ú,µ¾ÎÁ¾ú",Magnaporthe_oryzae_70-15,MG8,public,gene13183,MGG_08028,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/495/GCF_000002495.2_MG8/GCF_000002495.2_MG8_genomic.fna.gz
èÖ×Ó,Citrus_maxima,v1.0,public,CgUng022200,null,http://citrus.hzau.edu.cn/orange/download/HWB.chromosome.fa.tar.gz
´óÁâöÒ,Scophthalmus_maximus,sm5,public,SMAX5B003974,null,http://denovo.cnag.cat/genomes/turbot/download/sm5/sm5.scaffolds.fa.gz
Â³ÊÏ½ÍÄ¸,Zygosaccharomyces_rouxii,ASM2636v1,public,gene5322,ZYRO0G22572g,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/365/GCF_000026365.1_ASM2636v1/GCF_000026365.1_ASM2636v1_genomic.fna.gz
"ÃÛ·ä,Å·ÖÞÃÛ·ä",Apis_mellifera,Amel_4.5_ncbi,public,gene14060,LOC725843,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/195/GCF_000002195.4_Amel_4.5/GCF_000002195.4_Amel_4.5_genomic.fna.gz
ºÌ¹ÈÁ­µ¶¾ú,Fusarium_graminearum_PH-1,ASM24013v3,public,gene13725,FGSG_14026,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/135/GCF_000240135.3_ASM24013v3/GCF_000240135.3_ASM24013v3_genomic.fna.gz
ÆÏÌÑ,Vitis_vinifera,IGGP_12x.23,public,VIT_00s2887g00010,null,"ftp://ftp.ensemblgenomes.org/pub/release-23/plants/fasta/vitis_vinifera/dna/,ftp://ftp.ensemblgenomes.org/pub/release-23/plants/gff3/vitis_vinifera/Vitis_vinifera.IGGP_12x.23.gff3.gz"
"²Ô¶úÖáËªÃ¹¾ú,»ô¶ûË¹µ¥ÖáÃ¹",Plasmopara_halstedii,GCA_900000015.1,public,gene15468,PHALS_04891,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/000/015/GCA_900000015.1_Plasmopara_halstedii_genome/GCA_900000015.1_Plasmopara_halstedii_genome_genomic.fna.gz
Ã·»¨,Prunus_mume,P.mume_V1.0,public,gene26386,LOC107882121,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/346/735/GCF_000346735.1_P.mume_V1.0/GCF_000346735.1_P.mume_V1.0_genomic.fna.gz
ÌúÆ¤Ê¯õú,Dendrobium_catenatum,ASM160598v1,public,gene24993,LOC110094683,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/985/GCF_001605985.1_ASM160598v1/GCF_001605985.1_ASM160598v1_genomic.fna.gz
Ä¾Ê­,Diaphorina_citri,version_1.1,public,gene20016,LOC108254538,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/475/195/GCF_000475195.1_Diaci_psyllid_genome_assembly_version_1.1/GCF_000475195.1_Diaci_psyllid_genome_assembly_version_1.1_genomic.fna.gz
¶þËë¶Ì±ú²Ý,Brachypodium_distachyon,v3.1,public,Bradi0180s00100.v3.1,Bradi0180s00100,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Bdistachyon
ÏòÈÕ¿û,Helianthus_annuus,HanXRQr1.0,public,gene9999,LOC110929225,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/127/325/GCF_002127325.1_HanXRQr1.0/GCF_002127325.1_HanXRQr1.0_genomic.fna.gz
ÂÌÄ¾Ã¹,Trichoderma_virens_Gv29-8,ASM17099v1,public,TRIVIDRAFT_9627,null,ftp://ftp.ensemblgenomes.org/pub/fungi/release-38/fasta/trichoderma_virens/dna/Trichoderma_virens.ASM17099v1.dna.toplevel.fa.gz
ÀïÊÏÄ¾Ã¹,Trichoderma_reesei_QM6a,GCA_000167675.2,public,TRIREDRAFT_71173,null,ftp://ftp.ensemblgenomes.org/pub/fungi/release-38/fasta/trichoderma_reesei/dna/Trichoderma_reesei.GCA_000167675.2.dna.toplevel.fa.gz
Â³ÊÏ½ÍÄ¸,Zygosaccharomyces_rouxii,ZYGR_assembly01,public,gene10581,ZYGR_0EB00100,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/345/GCA_001972345.1_ZYGR_assembly01
°×ÄîÖé¾ú,Clavispora_lusitaniae_ATCC_42720,ASM167369v2_CGD,public,OVF11474.1,null,http://www.candidagenome.org/download/sequence/C_lusitaniae_CBS6936/current/C_lusitaniae_CBS6936_chromosomes.fasta.gz
Ð¡Êó,Mus_musculus,NCBIM37_mm9,public,ENSMUSG00000093789,RP24-73K9.3,"ftp://ftp.ensembl.org/pub/release-67/fasta/mus_musculus/dna/Mus_musculus.NCBIM37.67.dna.toplevel.fa.gz,ftp://ftp.ensembl.org/pub/release-67/gtf/mus_musculus/Mus_musculus.NCBIM37.67.gtf.gz"
²ÝÝ®,Fragaria_vesca,v4.0.a1,public,FvH4_c9g00050,null,ftp://ftp.bioinfo.wsu.edu/species/Fragaria_vesca/Fvesca-genome.v4.0.a1/assembly/Fragaria_vesca_v4.0.a1.fasta.gz
Ã×ÇúÃ¹,Aspergillus_oryzae_RIB40,ASM18445v3,public,gene12321,AO090663000006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/455/GCF_000184455.2_ASM18445v3/GCF_000184455.2_ASM18445v3_genomic.fna.gz
ÇòÃ«¿ÇÃ¹CBS 148.51,Chaetomium_globosum_CBS_148.51,ASM14336v1,public,gene11231,CHGG_11118,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/365/GCF_000143365.1_ASM14336v1/GCF_000143365.1_ASM14336v1_genomic.fna.gz
¶Ì¹Ü³àÑÛ·ä,Trichogramma_pretiosum,Tpre_2.0,public,gene13394,LOC106657818,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/845/GCF_000599845.2_Tpre_2.0/GCF_000599845.2_Tpre_2.0_genomic.fna.gz
»Ò·ÉÊ­,Laodelphax_striatella,v1,public,evm.TU.Contig11134.1,EVM%20prediction%20Contig11134.1,ftp://penguin.genomics.cn/pub/10.5524/100001_101000/100361/Laodelphax_striatellus.genome.fa.gz
â¨ºïÌÒ,Actinidia_chinensis,Red5_PS1_1.69.0,public,Acc33761,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/024/255/GCA_003024255.1_Red5_PS1_1.69.0/GCA_003024255.1_Red5_PS1_1.69.0_genomic.fna.gz
°×ÄîÖé¾ú,Candida_albicans_SC5314,Assembly22,public,CR_10860C_B,null,http://www.candidagenome.org/download/sequence/C_albicans_SC5314/Assembly22/current/C_albicans_SC5314_version_A22-s07-m01-r55_chromosomes.fasta.gz
²èÊ÷,Camellia_sinensis,customer_v1,public,TEA023444.1_gene,TEA023444.1,http://pcsb.ahau.edu.cn:8080/CSS/
"°×²Ë,ÓÍ²Ë",Brassica_rapa,v2.5,public,evm.TU.BraSca001309,EVM%20prediction%20BraSca001309,http://brassicadb.org/brad/datasets/pub/Genomes/Brassica_rapa/V2.0/V2.5/Chr/BrapaV2.5_Chr.fa.gz
Éú·ÀÄ¾Ã¹,Trichoderma_guizhouense,ASM202278v1,public,A0O28_0112960,null,ftp://ftp.ensemblgenomes.org/pub/fungi/release-39/fasta/fungi_ascomycota3_collection/trichoderma_guizhouense/dna/Trichoderma_guizhouense.ASM202278v1.dna.toplevel.fa.gz
Þ¼Âó,Chenopodium_quinoa,PI_614886,public,AUR62044776,null,http://www.cbrc.kaust.edu.sa/chenopodiumdb/download/Cq_PI614886_genome_V1_pseudomolecule.fa.gz
»¨Éú,Arachis_hypogaea,Tifrunner.gnm1.ann1.CCJH,public,arahy.Tifrunner.gnm1.ann1.ZZZ528,arahy.ZZZ528,"https://www.peanutbase.org/data/public/Arachis_hypogaea/Tifrunner.gnm1.KYV3/arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz,https://www.peanutbase.org/data/public/Arachis_hypogaea/Tifrunner.gnm1.ann1.CCJH/arahy.Tifrunner.gnm1.ann1.CCJH.gene_models_main.gff3.gz"
ÀææßÁ­µ¶¾ú,Fusarium_poae,FPOA1.0,public,gene9999,FPOA_09840,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/675/295/GCA_001675295.1_FPOA1.0/GCA_001675295.1_FPOA1.0_genomic.fna.gz
Ð¡Êó,Mus_musculus,GRCm38_release79,public,ENSMUSG00000104527,RP23-355B17.2,"ftp://ftp.ensembl.org/pub/release-79/fasta/mus_musculus/dna/Mus_musculus.GRCm38.dna.toplevel.fa.gz,ftp://ftp.ensembl.org/pub/release-79/fasta/mus_musculus/dna/Mus_musculus.GRCm38.dna.toplevel.fa.gz,ftp://ftp.ensembl.org/pub/release-79/gtf/mus_musculus/Mus_musculus.GRCm38.79.gtf.gz"
Ð±ÎÆÒ¹¶ê,Spodoptera_litura,ASM270686v1,public,gene9999,LOC111356082,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/865/GCF_002706865.1_ASM270686v1
¹·Î²²Ý,Setaria_viridis,v2.1,public,Sevir.J000601.v2.1,Sevir.J000601,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Sviridis
ÑÌ·ÛÊ­,Bemisia_tabaci,customer_v1,public,BTA030206.1.gene,Btabaci_GLEAN_10011948,
ÖéÄ¸,Pinctada_fucata,v2.0,public,pfu_aug2.0_9999.1_33072,null,
Å£,Bos_taurus,UMD_3.1.1,public,gene9997,SLC25A46,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/055/GCF_000003055.5_Bos_taurus_UMD_3.1.1/
·¬ÇÑ,Solanum_lycopersicum,ITAG2.4,public,Solyc12g100360.1.ITAG2.4,Solyc12g100360.1,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Slycopersicum
°ë»¬Éà÷£,Cynoglossus_semilaevis,Cse_v1.0,public,gene9999,lonrf1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/025/GCF_000523025.1_Cse_v1.0/GCF_000523025.1_Cse_v1.0_genomic.fna.gz
ºì÷¢¶«·½÷ƒ,Takifugu_rubripes,FUGU5,public,gene9999,LOC101073230,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/180/615/GCF_000180615.1_FUGU5/GCF_000180615.1_FUGU5_genomic.fna.gz
·É»È,Locusta_migratoria,V2.4.1,public,LOCMI01189,null,http://159.226.67.243/download.htm
¿à¹Ï,Momordica_charantia,ASM199503v1,public,gene9999,LOC111012776,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/995/035/GCF_001995035.1_ASM199503v1/GCF_001995035.1_ASM199503v1_genomic.fna.gz
Ò°Éú¶þÁ£Ð¡Âó,Triticum_dicoccoides,WEWSeq_v.1.0,public,TRIDC7BG077120,null,https://www.dropbox.com/sh/3dm05grokhl0nbv/AADZrrGlC6CyhTeKuzNTC0Ota/Pseudomolecules?dl=0&preview=151210_zavitan_v2_pseudomolecules.fasta
Ïã¹½,Lentinula_edodes,Strain_W1_26,public,LE01Gene14889,null,http://legdb.chenlianfu.com/page/download.html
"Â¹½ÇÉºº÷,Ö¸ÐÎÖá¿×Éºº÷",Acropora_digitifera,Adig_1.1,public,gene9999,LOC107338438,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/465/GCF_000222465.1_Adig_1.1/GCF_000222465.1_Adig_1.1_genomic.fna.gz
Éºº÷Ôå,Guillardia_theta_CCMP2712,Guith1,public,gene9999,GUITHDRAFT_163220,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/625/GCF_000315625.1_Guith1/GCF_000315625.1_Guith1_genomic.fna.gz
êÝ±´,Bathymodiolus_platifrons,Bpl_v1.0,public,99:Bpl_scaf_17553-0.13,Bpl_scaf_17553-0.13,https://datadryad.org/resource/doi:10.5061/dryad.h9942
¹þ´ÄÄ¾Ã¹,Trichoderma_harzianum,ASM283884v1,public,gene9999,CI102_9541,https://www.ncbi.nlm.nih.gov/assembly/GCA_002838845.1
ÓÍ²Ë,Brassica_napus,ZS11_NCBI,public,gene99998,LOC106415608,https://www.ncbi.nlm.nih.gov/assembly/GCF_000686985.2
ÀðÓã,Cyprinus_carpio,GCF_000951615_1,public,gene9999,LOC109092868,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/615/GCF_000951615.1_common_carp_genome
"²®ÊÏÅ±Ô­³æ,ÊóÅ±Ô­³æ",Plasmodium_berghei_ANKA,PBANKA01,public,gene9g,PBANKA_010080:region,https:ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/002/375/GCA_900002375.1_PBANKA01
"ºì³µÖá²Ý,ºìÝÄ²Ý",Trifolium_pratense,Tp1.0,public,gene9999,L195_g010000,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/583/005/GCA_000583005.2_Tp1.0/GCA_000583005.2_Tp1.0_genomic.fna.gz
ÈË²Î,Panax_ginseng,v1_new,public,snap_masked-scaffold99923-processed-gene-0.3,null,http://ginseng.vicp.io:23488/index.php/index/download.html
ÌÒÑÁ,Myzus_persicae,MPER_G0061.0,public,gene9999,LOC111034646,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/785/GCF_001856785.1_MPER_G0061.0/GCF_001856785.1_MPER_G0061.0_genomic.fna.gz
ÂÌ¶¹,Vigna_radiata_var._radiata,Vradiata_ver6,public,gene9999,LOC106764726,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/741/045/GCF_000741045.1_Vradiata_ver6/GCF_000741045.1_Vradiata_ver6_genomic.fna.gz
ÓÍÍ©,Vernicia_fordii,customer_v1,public,VF28422,null,
èÎ¿×ÉÈ±´,Azumapecten_farreri,CfBase,public,evm.TU.scaffold9969.1,EVM%20prediction%20scaffold9969.1,http://mgb.ouc.edu.cn/cfbase/html/download/CFgenome/Chlamys_farreri.scaffold.fasta.zip
"ÂíÁåÊí,ÍÁ¶¹",Solanum_tuberosum,v4.04,public,PGSC0003DMG406000400,null,http://solanaceae.plantbiology.msu.edu/pgsc_download.shtml
ÄÏ·½ÝËË¿×Ó,Cuscuta_australis,Cau_v1.0,public,gene9999,DM860_010000,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/260/385/GCA_003260385.1_Cau_v1.0/GCA_003260385.1_Cau_v1.0_genomic.fna.gz
·¬Ä¾¹Ï,Carica_papaya,ASGPBv0.4,public,gevm.TU.contig_47904.3,evm.TU.contig_47904.3,https://phytozome.jgi.doe.gov/pz/portal.html#!bulk?org=Org_Cpapaya
"ÈÕ±¾Çç,¾¬µ¾,Ë®µ¾",Oryza_sativa,Build_4.0,public,gene9999,Os03g0627500,https://www.ncbi.nlm.nih.gov/genome/10
µ¤²Î,Salvia_miltiorrhiza,EVM,public,EVM0028088,null,
Æ½Ô­ÝËË¿×Ó,Cuscuta_campestris,v0.32,public,Cc047660,null,http://plabipd.de/portal/cuscuta-campestris
"ÃÀÖÞ´óó¹,ÃÀÖÞó¯òë",Periplaneta_americana,v1,public,gene_PaOGS37426,null,
ÊÈÈÈËÄÄ¤³æ,Tetrahymena_thermophila,JCVI_TTA1_2.2,public,gene9999,TTHERM_00079140,https://www.ncbi.nlm.nih.gov/genome/?term=Tetrahymena+thermophila
Ï£ÍßÊÏ¾ú,Shewanella_oneidensis,ASM14616v2,public,gene999,SO_1086,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/165/GCF_000146165.2_ASM14616v2/GCF_000146165.2_ASM14616v2_genomic.fna.gz
"¼Ò²ÏÎ¢Á£×Ó²¡Ô­³æCQ1,æß×Ó³æ",Nosema_bombycis_CQ1,NosBomCQ1_v1.0,public,gene999,NBO_22g0008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/075/GCA_000383075.1_NosBomCQ1_v1.0/GCA_000383075.1_NosBomCQ1_v1.0_genomic.fna.gz
"ÑÌ²ÝºÚëÖ²¡¾ú,ÑÌ²ÝÒßÃ¹",Phytophthora_parasitica_INRA-310,PP_INRA_310_V2,public,gene9999,PPTG_22408,https://www.ncbi.nlm.nih.gov/assembly/GCF_000247585.1/
ÈÕ±¾ÑªÎü³æ,Schistosoma_japonicum,ASM15177v1,public,Sjp_0135270,null,http://parasite.wormbase.org/Schistosoma_japonicum_prjea34885/Info/Index?db=core
Ïð½º²Ý,Taraxacum_kok-saghyz,GWHAAAA00000000,public,evm.TU.utg9999.1,EVM%20prediction%20utg9999.1,ftp://download.big.ac.cn/gwh/Genome/Plants/Taraxacum_kok-saghyz_TKS_GWHAAAA00000000/
Á«»¨,Lotus_japonicus,lotus_r3.0,public,Ljmitog3v0000890,CUFF.42,ftp://ftp.kazusa.or.jp/pub/lotus/lotus_r3.0/
ÌúÆ¤Ê¯õú,Dendrobium_catenatum,ASM160598v2,public,gene9999,MA16_Dca012306,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/985/GCA_001605985.2_ASM160598v2
²ÝÓã,Ctenopharyngodon_idellus,v1,public,CI01180000_11469674_11492740,PREDICTED:_inactive_ubiquitin_carboxyl-terminal_hydrolase_53-like_[Danio_rerio],"www.ncgr.ac.cn/grasscarp/files/C_idella_female_scaffolds.fasta.v1.gz,www.ncgr.ac.cn/grasscarp/files/C_idella_female_genemodels.v1.gff.gz"
½Ú½ÚÂó,Aegilops_tauschii,Aet_MR_1.0,public,gene9999,LOC109768872,https://www.ncbi.nlm.nih.gov/assembly/GCF_001957025.1
ÑÌÇúÃ¹,Aspergillus_fumigatus_Af293,ASM265v1,public,gene999,AFUA_1G11300,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1/
Ìð¹Ï,Cucumis_melo,v4.0,public,MELO3C035777.2,null,https://www.melonomics.net/melonomics.html#/download
"·Â´Ì²Î,´Ì²Î",Apostichopus_japonicus,ASM275485v1,public,gene9999,BSL78_27886,https://www.ncbi.nlm.nih.gov/assembly/GCA_002754855.1/
Ó¼³æ²ÝCM01,Cordyceps_militaris_CM01,CmilitarisCM01_v01,public,gene999,CCM_01002,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/605/GCF_000225605.1_CmilitarisCM01_v01/
³æ²Ý±­æßÃ¹,Calcarisporium_cordycipiticola,customer_v1,public,TU.CCOR_10448,Prediction_CCOR_10448,
¸ÊÕá,Saccharum_officinarum,R570_monoploid,public,Sh_254P16_g000100,null,http://sugarcane-genome.cirad.fr/sites/default/files/download/single_tiling_path_assembly.fna.gz
Òâ·ä,Apis_mellifera,Amel_4.5_OGSv3.2,public,GB56038,null,http://hymenopteragenome.org/beebase/?q=download_sequences
Â³ÊÏ½ÍÄ¸,Zygosaccharomyces_rouxii,customer1,public,EVM0009528,null,
´óÂó,Hordeum_vulgare,Hv_IBSC_PGSB_v2,public,HORVU7Hr1G122880,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-40/fasta/hordeum_vulgare/dna/Hordeum_vulgare.Hv_IBSC_PGSB_v2.dna.toplevel.fa.gz
¶þ°ßÒ¶òý,Tetranychus_urticae,genome_200909,public,tetur99g00020,null,https://bioinformatics.psb.ugent.be/gdb/tetranychus
ÂÌ½©¾úÊô,Metarhizium_acridum_CQMa_102,MetAcr_May2010,public,MAC_09849,null,ftp://ftp.ensemblgenomes.org/pub/fungi/release-40/fasta/fungi_ascomycota1_collection/metarhizium_acridum_cqma_102/dna/
Óô½ðÏã,Tulipa_gesneriana,customer_v1,public,snap_masked-scaffold_9858_ref0002629-processed-gene-0.1,null,
µ°°×ºËÐ¡ÇòÔå,Chlorella_pyrenoidosa,FACHB_9,public,g9999,null,
Ä¾Ê­,Diaphorina_citri,v2.0,public,DcitrP103960.1,null,https://citrusgreening.org/organism/Diaphorina_citri/genome
½áÂÆ²Ý,Zoysia_japonica,r1.1,public,Zjn_sc13170.1.g00020.1.am.mk,null,ftp://ftp.kazusa.or.jp/pub/zoysia/ZJN_r1.1.genome.gz
¼Ò²Ï,Bombyx_mori,v1.0,public,BGIBMGA014623,null,http://silkworm.genomics.org.cn/
Ð¡Âó,Triticum_aestivum,IWGSC_RefSeq_v1.1,public,TraesCSU02G272997,null,https://urgi.versailles.inra.fr/download/iwgsc/IWGSC_RefSeq_Annotations/v1.1/
Æ«Ö×Ë¨¾ú,Trametes_gibbosa,Tragib1,public,gene_9999,jgi.p|Tragib1|1497614,http://genome.jgi.doe.gov/Tragib1/Tragib1.home.html
